cleaned_text,sentiment
ahhh hope ok,Negative
cool tweet app razr,Negative
know famili drama lame hey next time u hang kim n u guy like sleepov whatev ill call u,Negative
school email open geographi stuff revis stupid school,Negative
upper airway problem,Negative
go miss pastor sermon faith,Negative
lunch dj come eat,Positive
oh feel like,Negative
gahh noo peyton need live horribl,Negative
thank glad like product review bit site enjoy knit,Positive
zach make pee sit grown gay man,Positive
sum day one word kacker,Positive
great mind think alik,Positive
poorli bed,Negative
oh realli great small blizzard also cold wind blow,Positive
lol calm got day loan offer,Positive
feel quit sleepi today wish could stay bed today ok last year let go school,Positive
yeah mathieu total choke rd set let rog win well djokov play terribl,Negative
ugh morn rough start,Negative
bit tongu,Negative
appar dont time ur fan,Negative
whaddup whaddup whaddup whaddup whaddup got white girl swag head shoe whaddup,Positive
will pay thu cover cost set one got counter offer listen,Positive
work photo hillsong year celebr stay tune,Positive
babi chicken pox soo bad face afraid might scar,Negative
feel good,Negative
ha ha want see pictur minist boobi flahs,Positive
day pass slowli day rawr,Negative
car poorli,Negative
im turn one week feel excit realli know seen friend got excit part,Positive
woooooork tomorrrow amp tuesday,Positive
flatmat still bathroom arggh,Negative
allerg reaction silver ear,Negative
admit mayb feel better tomorrow yo studio time,Negative
go back sleep great idea unfortun alreadi work notebook less,Negative
msn make click wrong peopl garrrrr,Negative
full fizz enough cider,Negative
get ex back work,Positive
time sleep long day tomorrow,Negative
hahaha blakk reckkkin p thro,Positive
cub game today first ever,Positive
hi sound like feel bit better great great day,Positive
lol leav kid internet kid stupid thing,Positive
eat cha eric,Positive
good note meet marti richard red ball year ago sweet never forget,Positive
hand offici tie think time anyth anymor includ california meet,Negative
said quot scar quot sweeti,Positive
suppos go live tv happen end would cool bbc,Negative
fck br ndbi,Positive
jealou yet find local chines satisfi,Negative
r us local yocal around happi find u twitter day,Positive
back supercheap success trip bike tank amp check week readi start relax,Positive
want shoot charlott,Negative
good work,Positive
welcom new cd week mayb even tomorrow,Positive
hate bein phone long,Negative
anyon want attend tedm make date happili take place live blog,Positive
mean us,Positive
beach morn bbq afternoon back school work morro,Negative
old realli,Positive
siteown custom search box fail quot market quot quot en au quot noth still target us search quot australia quot,Negative
watch crank awesom,Positive
,Positive
night rock star,Positive
realli reason haha sound stupid,Positive
first night myer w lydia actual excit summer,Positive
tooth sving cannot see dentist week,Negative
cant sleep got heartburn realli bad,Negative
